κ,h,K_gain,shock,variable,period,value
0.06,0.0,0.1,ε_att,i,3,-6.867058203783298
0.06,0.0,0.1,ε_att,i,4,-6.443808754954959
0.06,0.0,0.1,ε_att,i,5,-5.7351819324224325
0.06,0.0,0.1,ε_att,i,6,-4.947146945750021
0.06,0.0,0.1,ε_att,i,7,-4.188410685289227
0.06,0.0,0.1,ε_att,i,8,-3.5063604230613374
0.06,0.0,0.1,ε_att,i,9,-2.9149285787028227
0.06,0.0,0.1,ε_att,i,10,-2.4120321068843644
0.06,0.0,0.1,ε_att,i,11,-1.9891167705020123
0.06,0.0,0.1,ε_att,i,12,-1.6358277394692853
0.06,0.0,0.1,ε_att,i,13,-1.3420386390493457
0.06,0.0,0.1,ε_att,i,14,-1.0985940517083168
0.06,0.0,0.1,ε_att,i,15,-0.8974885802327583
0.06,0.0,0.1,ε_att,π,0,-0.3653898691455998
0.06,0.0,0.1,ε_att,π,1,-0.45854778799139817
0.06,0.0,0.1,ε_att,π,2,-0.4453725308727282
0.06,0.0,0.1,ε_att,π,3,-0.3989823285144071
0.06,0.0,0.1,ε_att,π,4,-0.3475370108350288
0.06,0.0,0.1,ε_att,π,5,-0.29987985556757185
0.06,0.0,0.1,ε_att,π,6,-0.2577122282407779
0.06,0.0,0.1,ε_att,π,7,-0.22066872205879567
0.06,0.0,0.1,ε_att,π,8,-0.18809033119885277
0.06,0.0,0.1,ε_att,π,9,-0.15946482001208087
0.06,0.0,0.1,ε_att,π,10,-0.13443171835843148
0.06,0.0,0.1,ε_att,π,11,-0.11270245574989184
0.06,0.0,0.1,ε_att,π,12,-0.09400179141486367
0.06,0.0,0.1,ε_att,π,13,-0.07804436499138369
0.06,0.0,0.1,ε_att,π,14,-0.06453447537009363
0.06,0.0,0.1,ε_att,π,15,-0.05317582489706303
0.06,0.0,0.1,ε_att,ygap,0,-0.2572339583645143
0.06,0.0,0.1,ε_att,ygap,1,-0.1725618810210124
0.06,0.0,0.1,ε_att,ygap,2,-0.11584597109745387
0.06,0.0,0.1,ε_att,ygap,3,-0.08286141294870643
0.06,0.0,0.1,ε_att,ygap,4,-0.06464774227778217
0.06,0.0,0.1,ε_att,ygap,5,-0.05411586593543864
0.06,0.0,0.1,ε_att,ygap,6,-0.04703962819946842
0.06,0.0,0.1,ε_att,ygap,7,-0.041343917142269586
0.06,0.0,0.1,ε_att,ygap,8,-0.03620544119544857
0.06,0.0,0.1,ε_att,ygap,9,-0.031402840423041624
0.06,0.0,0.1,ε_att,ygap,10,-0.026944196620461904
0.06,0.0,0.1,ε_att,ygap,11,-0.022888903751832515
0.06,0.0,0.1,ε_att,ygap,12,-0.019279623603136658
0.06,0.0,0.1,ε_att,ygap,13,-0.01612680974998353
0.06,0.0,0.1,ε_att,ygap,14,-0.013413577297953536
0.06,0.0,0.1,ε_att,ygap,15,-0.011105561590770903
0.06,0.0,0.2,ε_rn,i,0,10.00904928744328
