h,rho_att,i0_bp,icum8_bp
0.45,0.5,8.67836912976707,16.424384836296152
0.45,0.55,8.080674745807178,14.489299119655989
0.45,0.6,7.359594376504064,11.275532916471729
0.45,0.65,6.472873389304465,6.033416152617889
0.45,0.7,5.356603111639631,-2.4869532617847967
0.45,0.75,3.909375137033876,-16.43979672200955
0.45,0.8,1.960179605588485,-39.71231685068
0.45,0.85,-0.8033808076601188,-79.79212812039285
0.45,0.9,-5.018529864511508,-152.56113714905362
0.45,0.95,-12.21550439215041,-297.1813599984119
0.5,0.0,11.805638749394348,16.769889263675207
0.5,0.05,11.647817232550876,17.146606720114157
0.5,0.1,11.47371890452076,17.511687579105136
0.5,0.15,11.28070566282848,17.85420806240261
0.5,0.2,11.065539853145516,18.15838963807526
0.5,0.25,10.824204444350627,18.401241669156924
0.5,0.3,10.551654585341876,18.54887821166879
0.5,0.35,10.241468011064509,18.550709177189855
0.5,0.4,9.885342898896464,18.330206170480636
0.5,0.45,9.472359662903013,17.770091436083664
0.5,0.5,8.987866618077636,16.688296483663983
0.5,0.55,8.411745901095394,14.798284408408778
0.5,0.6,7.715617768615305,11.642054311737144
0.5,0.65,6.858141379862066,6.4734927332345595
0.5,0.7,5.776711540960125,-1.9531494115252694
0.5,0.75,4.37186490820393,-15.787849851122235
0.5,0.8,2.4756723360107236,-38.91510886795302
0.5,0.85,-0.21896661849123145,-78.8260660329351
0.5,0.9,-4.339018241625481,-151.4257215347664
0.5,0.95,-11.390829239372167,-295.95793364546773
0.55,0.0,11.999245346064692,16.89147707748337
0.55,0.05,11.849336674760346,17.2766390129785
0.55,0.1,11.683831121009042,17.651429333439772
0.55,0.15,11.500183124241707,18.0052276706028
0.55,0.2,11.295265399576552,18.322653431397207
0.55,0.25,11.065193697515173,18.5812403892186
0.55,0.3,10.805084466473536,18.74779553342434
0.55,0.35,10.50871352316638,18.772644983954226
0.55,0.4,10.168025302704589,18.58047012390947
0.55,0.45,9.772410695036019,18.055584994639304
0.55,0.5,9.307615853611813,17.018002613766814
0.55,0.55,8.754042475032898,15.183880622450799
0.55,0.6,8.08400486809192,12.098648684068728
0.55,0.65,7.257115185835142,7.020435587194189
0.55,0.7,6.212122336059328,-1.291549591041806
0.55,0.75,4.85157327470065,-14.982198469696948
0.55,0.8,3.0107023617812985,-37.93272062717112
0.55,0.85,0.38780646645390077,-77.63833568923917
0.55,0.9,-3.6337145882546404,-150.03149780253827
0.55,0.95,-10.536219226226315,-294.454221478312
0.6,0.0,12.199093529901884,17.048750332210208
0.6,0.05,12.057451023289682,17.44499925307498
0.6,0.1,11.9009285014736,17.832539553174342
0.6,0.15,11.72707856312359,18.201140777273807
0.6,0.2,11.532891037554844,18.535929437936726
0.6,0.25,11.314622611315412,18.81510196046108
0.6,0.3,11.0675609632642,19.00633385188937
0.6,0.35,10.78569217986718,19.061091023069924
0.6,0.4,10.461222033401198,18.905549901062663
0.6,0.45,10.083870703873762,18.425980694659078
0.6,0.5,9.639805859048426,17.444943161530407
0.6,0.55,9.109978802168287,15.681881651436342
0.6,0.6,8.467436324619362,12.686403864345149
0.6,0.65,7.672793027767841,7.7218067862954705
0.6,0.7,6.666215711035884,-0.44664242533041754
0.6,0.75,5.352343435183868,-13.95757046241171
0.6,0.8,3.569676481605409,-36.68800037530314
0.6,0.85,1.0220286652668693,-76.13775836908715
0.6,0.9,-2.8967204835250024,-148.2721782993929
0.6,0.95,-9.644896440194445,-292.55252583538515
0.65,0.0,12.406616542395266,17.2623235054414
0.65,0.05,12.273678490519215,17.67373834428051
0.65,0.1,12.126623623581088,18.07869752273669
0.65,0.15,11.963109829753813,18.467483049110534
0.65,0.2,11.780252631211097,18.82588210468661
0.65,0.25,11.574460044461713,19.132947010723772
0.65,0.3,11.341203665901105,19.357465940167774
0.65,0.35,11.07469545959668,19.452354191817463
0.65,0.4,10.767421893906576,19.345677104039584
