regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,0.3,0.35,-3.07589043700844,0.02692359065553629,-2.993076421981146
Naive Fed (K=1.00),1.0,0.3,0.4,-2.721101344978644,0.030710183064935004,-2.637535824536109
Naive Fed (K=1.00),1.0,0.3,0.45,-2.202270978858147,0.03448204047311776,-2.1263321818323875
Naive Fed (K=1.00),1.0,0.3,0.5,-1.4456436355328224,0.038239220219305925,-1.3903633501950448
Naive Fed (K=1.00),1.0,0.3,0.55,-0.33855808050395064,0.04198177941959358,-0.3243448098475128
Naive Fed (K=1.00),1.0,0.3,0.6,1.2942179685884379,0.04570977496781492,1.2350595564849578
Naive Fed (K=1.00),1.0,0.3,0.65,3.7308938645026912,0.04942326353641002,3.5465009138109993
Naive Fed (K=1.00),1.0,0.3,0.7,7.424206459467194,0.05312230157728581,7.029815524955344
Naive Fed (K=1.00),1.0,0.3,0.75,13.134186117530973,0.056806945322674496,12.38807312489456
Naive Fed (K=1.00),1.0,0.3,0.8,22.189817700893553,0.0604772507859882,20.847838530901253
Naive Fed (K=1.00),1.0,0.3,0.85,37.047004902503495,0.06413327376267075,34.67105919500423
Naive Fed (K=1.00),1.0,0.3,0.9,62.61097665157611,0.06777506983104575,58.36751333682556
Naive Fed (K=1.00),1.0,0.3,0.95,109.87036012237267,0.07140269435316116,102.02532038008316
Naive Fed (K=1.00),1.0,0.4,0.0,-4.856564315434839,0.0,-4.856564315434839
Naive Fed (K=1.00),1.0,0.4,0.05,-4.876445231541633,0.006907504562964073,-4.842761163853715
Naive Fed (K=1.00),1.0,0.4,0.1,-4.873576478577307,0.013767295506640798,-4.806480511022519
Naive Fed (K=1.00),1.0,0.4,0.15,-4.839896605055922,0.020579702413073164,-4.740292973213828
Naive Fed (K=1.00),1.0,0.4,0.2,-4.764407722776076,0.02734505258771447,-4.634124743047451
Naive Fed (K=1.00),1.0,0.4,0.25,-4.631897939692138,0.0340636710751544,-4.4741184918207795
Naive Fed (K=1.00),1.0,0.4,0.3,-4.420997832719925,0.04073588067473566,-4.240904592542981
Naive Fed (K=1.00),1.0,0.4,0.35,-4.101187249344587,0.04736200195606266,-3.9069468108189493
Naive Fed (K=1.00),1.0,0.4,0.4,-3.6281351266381945,0.05394235327440411,-3.432424979909802
Naive Fed (K=1.00),1.0,0.4,0.45,-2.9363613051441964,0.0604772507859882,-2.758778246094719
Naive Fed (K=1.00),1.0,0.4,0.5,-1.927524847377096,0.06696700846319259,-1.79844427460978
Naive Fed (K=1.00),1.0,0.4,0.55,-0.45141077400527,0.0734119381096291,-0.4182718342019754
